UNITID,Name,Address,City,State,ZipCode,Longitude,Latitude,CIP CODE,major_field_of_study_orig,major_field_of_study,TUITPL ,TUITPL1,TUITPL2,TUITPL3,TUITPL4,Room,Board,TUITION1,EFYBKAAT,EFYBKAAM,EFYBKAAW,UAGRNTT,UDGAGRNTT,UNDAGRNTT,UPGRNTT,UDGPGRNTP (%),Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID,Average of Households Median Income (Dollars),Average of TotalPop,Average of Men,Average of Women,Average of Hispanic,Average of White,Average of Black,Average of Native,Average of Asian,Average of Pacific,Average of VotingAgeCitizen,Average of Income,Average of IncomeErr,Average of IncomePerCap,Average of IncomePerCapErr,Average of Poverty,Average of ChildPoverty,Average of Professional,Average of Office,Average of Service,Average of Construction,Average of Production,Average of Carpool,Average of Transit,Average of Drive,Average of Walk,Average of OtherTransp,Average of MeanCommute,Average of Employed,Average of PrivateWork,Average of PublicWork,Average of FamilyWork,Average of Unemployment,Average of SelfEmployed
488077,Academy of Professional Cosmetology,"2600 West Hudson Road Suite A, Rogers, Arkansas 72756-2028",Rogers,AR,72756,-94.157411,36.35541,,Information not available,Engineering & Technology,1,1,1,1,0,2,3,10560,334,328,6," $3,869,688.00 "," $3,869,688.00 ", $-   ," $3,820,483.00 ",28,www.apcschools.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,135,135,34%,3%,2019-20,"$12,837",Aesthetician/Esthetician and Skin Care Specialist,486619,04241800,58942,4426.67,2185.78,2240.89,23.42,69.34,1.49,1.03,2.53,0.51,2764.00,48651.78,8748.33,26773.78,3858.67,15.36,23.44,31.29,27.19,16.18,10.09,15.26,9.87,0.17,83.96,1.74,0.30,18.33,2109.33,87.17,7.82,0.08,3.24,4.97
107293,Academy of Salon and Spa,"311 S 16th St, Fort Smith, Arkansas 72901",Fort Smith,AR,72901,-94.41616,35.38097,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,4,0,4," $206,142.00 "," $206,142.00 ", $-   ," $206,142.00 ",60,www.academysalonspa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,67,67,53%,NA,2019-20,"$15,085","Cosmetology/Cosmetologist, General",107293,01074100,39016,4581.83,2220.67,2361.17,20.43,60.95,10.33,0.98,3.77,0.00,3114.17,34966.17,6123.33,19879.50,3413.67,28.15,33.48,26.68,24.37,19.17,9.53,20.25,13.82,0.90,80.03,2.92,0.98,15.75,1906.17,88.77,7.95,0.25,5.93,3.07
100654,Alabama A & M University,"4900 Meridian Street, Normal, Alabama 35762",Normal,AL,35762,-86.568502,34.783368,13,Education,Education,1,0,0,1,0,1,1,8610,5654,2254,3400," $45,844,761.00 "," $45,844,761.00 ", $-   ," $18,422,240.00 ",66,www.aamu.edu/,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Midsize,Yes,6007,5206,27%,34%,Fall 2016,"$14,600",-,100654,00100200,68864,9505.00,4676.00,4829.00,1.70,76.10,12.40,1.90,1.20,0.90,7408.00,63528.00,8416.00,30982.00,3076.00,13.10,12.00,40.90,19.90,14.70,11.00,13.50,7.30,0.00,85.80,1.70,0.00,28.20,4592.00,64.00,26.10,0.40,6.50,9.50
485874,Alabama College of Osteopathic Medicine,"445 Health Sciences Boulevard, Dothan, Alabama 36303-2251",Dothan,AL,36303,-85.340805,31.206294,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,83,1,82," $367,345.00 "," $367,345.00 ", $-   ," $367,345.00 ",40,https://www.acom.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,Rural: Fringe,No,761,,NA,NA,Fall 2016,NA,-,483975,04226700,48141,4519.33,2185.33,2334.00,3.17,47.15,46.00,0.52,0.77,0.00,3399.33,36584.33,3114.00,20473.00,1661.33,27.72,41.75,26.77,26.77,21.53,8.83,16.07,7.95,0.22,86.52,2.15,1.32,18.50,1859.00,84.20,10.70,0.12,11.97,4.98
490744,Alabama School of Nail Technology & Cosmetology,"202 Commerce Street, Jackson, Alabama 36545-2718",Jackson,AL,36545,-87.893386,31.50997,,Information not available,Engineering & Technology,1,0,1,1,0,2,3,#N/A,41,31,10," $139,300.00 "," $139,300.00 ", $-   ," $139,300.00 ",43,www.asntc.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,43,43,83%,NA,2019-20,"$21,978","Cosmetology/Cosmetologist, General",488916,04255500,47997,3020.00,1467.00,1553.00,0.00,57.37,42.33,0.07,0.23,0.00,2269.00,35151.67,7517.00,20168.67,4585.33,28.47,31.50,24.67,24.50,14.53,13.13,23.17,12.73,0.00,84.33,1.10,1.20,22.07,901.33,81.83,14.03,0.00,15.83,4.17
100724,Alabama State University,"915 S Jackson Street, Montgomery, Alabama 36104-0271",Montgomery,AL,36104,-86.295677,32.364317,13,Education,Education,1,0,0,1,0,1,1,8328,4000,1404,2596," $33,971,848.00 "," $33,971,848.00 ", $-   ," $12,132,284.00 ",70,www.alasu.edu/,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,3828,3296,28%,35%,Fall 2016,"$13,176",-,100724,00100500,32863,1310.17,673.67,636.50,5.67,19.98,73.18,0.10,0.50,0.00,975.17,24115.00,6576.17,20752.33,7527.00,41.48,52.23,31.58,19.28,29.45,5.13,14.52,11.85,2.82,75.80,6.43,0.78,16.68,462.33,73.95,21.90,0.00,13.23,4.12
102580,Alaska Bible College,"248 E Elmwood Ave, Palmer, Alaska 99645",Palmer,AK,99645,-149.111972,61.598553,13,Education,Education,1,0,0,1,0,1,1,10200,1,1,0," $339,381.00 "," $339,381.00 ", $-   ," $95,084.00 ",59,www.akbible.edu/,"4-year, Private not-for-profit",One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree,Town: Distant,Yes,39,39,50%,50%,Fall 2016,"$17,156",-,102580,00884300,85530,5511.29,2841.00,2670.29,3.57,79.27,1.67,5.79,1.46,0.20,3967.57,78995.86,7040.14,31369.29,2356.86,9.66,10.40,34.80,21.63,19.50,15.23,8.86,12.20,0.80,73.59,2.49,4.23,32.07,2428.29,69.87,22.00,0.20,9.13,7.94
103501,Alaska Career College,"1415 E Tudor Road, Anchorage, Alaska 99507-1033",Anchorage,AK,99507,-149.856954,61.181443,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,45,8,37," $2,147,772.00 "," $2,147,772.00 ", $-   ," $1,642,576.00 ",63,www.alaskacareercollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,268,268,70%,NA,Fall 2019,"$17,498",Medical/Clinical Assistant,103501,02541000,93265,6024.22,3147.00,2877.22,7.96,59.64,4.34,6.77,12.29,1.73,4292.56,98675.11,10118.22,41654.44,4602.89,7.22,10.24,44.99,22.69,13.50,9.57,9.27,12.77,1.18,76.47,1.96,3.56,17.79,3249.78,73.57,22.08,0.08,6.02,4.26
443951,Alaska Christian College,"35109 Royal Place, Soldotna, Alaska 99669",Soldotna,AK,99669,-151.136005,60.490459,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,0,0,0," $409,185.00 "," $409,185.00 ", $-   ," $389,700.00 ",95,www.alaskacc.edu/,"2-year, Private not-for-profit",Associate's degree,Rural: Fringe,Yes,77,77,27%,NA,Fall 2019,"$5,659",-,442523,04138600,79844,6597.50,3278.50,3319.00,2.20,87.60,0.25,2.95,1.25,0.00,5173.50,73957.00,8126.00,37406.00,4742.50,11.20,18.15,35.05,17.25,17.80,18.05,11.90,8.40,1.05,75.15,3.20,2.85,22.45,2937.00,74.05,16.60,0.30,9.45,9.05
102669,Alaska Pacific University,"4101 University Dr, Anchorage, Alaska 99508",Anchorage,AK,99508,-149.804168,61.190968,13,Education,Education,1,0,0,1,0,1,2,20350,18,6,12," $4,121,079.00 "," $4,079,485.00 "," $41,594.00 "," $658,252.00 ",40,www.alaskapacific.edu/,"4-year, Private not-for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - professional practice,City: Large,Yes,595,490,36%,25%,Fall 2016,"$22,388",-,102669,00106100,66601,5353.00,2542.67,2810.33,9.57,48.60,5.20,8.03,8.40,8.53,3727.00,72323.33,14031.00,34256.67,4307.33,13.30,14.33,34.33,27.57,21.40,5.73,10.97,7.63,3.73,72.40,3.80,6.43,19.13,2718.00,68.60,24.50,0.00,6.50,6.87
