studend_id,location,zip_code,gender,ethnicity,science_points,technology_points,engineering_points,art_points,math_points,average_points,profile
4001,ADJUNTAS,00601,Male,Asian,98,62,47,20,42,53.8,"I'm a sixth-grader fascinated by marine biology. Exploring underwater ecosystems and learning about marine creatures captivates my curiosity. When I'm not immersed in the world of science, I channel my artistic side into creating colorful marine-themed drawings."
4002,AGAWAM,01001,Female,Caucasian,27,60,61,39,96,56.6,"Hi there! I'm a middle school eighth-grader, and my fascination lies in chemistry. Mixing chemicals and observing reactions spark my scientific curiosity. In my artistic moments, I express my creativity through digital art that visualizes the beauty of chemical reactions."
4003,AMHERST,03031,Female,Caucasian,29,85,78,70,69,66.2,Hi there! I'm a first-grader who loves observing the sky . I enjoy drawing colorful sunsets and imagining the stories behind the clouds. 
4004,AVON,06001,Female,African American,95,31,40,43,45,50.8,"What's up! I'm a seventh-grader with a passion for computer programming. Writing code, creating simple games, and exploring the world of technology are my daily pursuits. Outside of coding, I express my artistic side through designing digital interfaces that blend functionality with aesthetic appeal."
4005,AVENEL,07001,Male,Caucasian,80,88,97,57,92,82.8,Hey! I'm a second-grader with a fascination for insects. I love learning about different bugs and drawing pictures of them in their tiny habitats.
4006,NEW YORK,10001,Male,African American,32,32,24,60,38,37.2,"Hey! I'm a middle school eighth-grader intrigued by civil engineering. Designing structures and understanding the principles of construction is my engineering journey. In my artistic pursuits, I sketch architectural wonders that merge precision with an artistic vision of a sustainable future."
4007,AMAWALK,10501,Female,Asian,23,41,66,95,70,59,"What's up! I'm a third-grader with a passion for building simple machines. Whether it's a pulley or a lever, I enjoy creating mini-contraptions with my toys."
4008,FLORAL PARK,11001,Male,African American,49,58,52,58,42,51.8,"Greetings! I'm a seventh-grade student with a passion for marine biology. Studying underwater ecosystems and marine life captivates my scientific curiosity. In my creative moments, I express my artistic flair through creating vibrant marine-themed drawings that blend science and art."
4009,ALIQUIPPA,15001,Female,Caucasian,63,61,20,80,47,54.2,"Hello! I'm a first-grader who loves shapes. Drawing pictures using circles, squares, and triangles is my favorite way to express my creative side."
4010,ALEPPO,15310,Female,Hispanic,86,95,23,92,81,75.4,"Hello! I'm an eighth-grader exploring the exciting world of robotics. Building and programming robots is not just a hobby but a thrilling adventure in technology. Outside of the tech realm, I express my artistic side through crafting sculptures that incorporate elements of engineering design."
4011,BETHLEHEM,18002,Female,Caucasian,25,20,68,54,94,52.2,I have a deep passion for physics. I would like to learn quantum physics in university.
4012,WASHINGTON,20001,Male,African American,88,70,23,90,32,60.6,"Hi there! I'm a seventh-grade student passionate about astronomy. Exploring the cosmos and learning about celestial bodies spark my scientific imagination. In my artistic endeavors, I create digital space-themed collages that capture the beauty and vastness of the universe."
4013,ALDIE,20105,Male,African American,75,48,95,71,79,73.6,"What's up! I'm an eighth-grader deeply engrossed in the world of artificial intelligence. Coding algorithms, exploring machine learning, and understanding the potential of AI are my technological pursuits. In my downtime, I express my artistic side through creating digital artworks that reflect the harmony between code and creativity."
